400,8,0six,1five,2four,3three,4four,5one
0.212767357,0.003879857,6.81E-05,0.000202696,-1.61E-08,1.19E-05,1.76E-08,1
0.213239084,0.003911784,8.32E-05,0.00020399,-1.84E-08,1.21E-05,1.92E-08,1
0.213538887,0.003910952,8.84E-05,0.00020549,-1.98E-08,1.22E-05,1.94E-08,1
0.213617943,0.003887371,8.92E-05,0.000206517,-2.01E-08,1.23E-05,1.95E-08,1
0.213558621,0.003967024,8.85E-05,0.000204834,-1.90E-08,1.23E-05,2.00E-08,1
0.213758219,0.003983975,0.000108003,0.000204417,-2.07E-08,1.22E-05,2.22E-08,1
0.214351952,0.00384905,0.000138333,0.00021251,-2.59E-08,1.23E-05,2.56E-08,1
0.214848107,0.003793894,0.000160038,0.000220054,-2.84E-08,1.27E-05,3.00E-08,1
0.215203788,0.003746594,0.000142538,0.000228188,-2.86E-08,1.31E-05,2.96E-08,1
0.215009943,0.003721998,0.000149981,0.000227298,-2.88E-08,1.29E-05,3.05E-08,1
0.214981899,0.003674342,0.000142081,0.000228239,-2.84E-08,1.29E-05,2.97E-08,1
0.214840663,0.003686957,0.000128275,0.000224369,-2.61E-08,1.26E-05,2.77E-08,1
0.212610313,0.003966458,5.03E-05,0.000188583,-1.05E-08,1.12E-05,1.50E-08,1
0.212184957,0.003971612,3.85E-05,0.000189386,-9.38E-09,1.13E-05,1.32E-08,1
0.212070119,0.004013311,4.15E-05,0.000187193,-9.46E-09,1.12E-05,1.35E-08,1
0.210853047,0.00427544,5.31E-05,0.000178679,-7.33E-09,1.07E-05,1.58E-08,1
0.209963383,0.004459639,6.82E-05,0.00016918,-6.68E-09,1.01E-05,1.69E-08,1
0.209461172,0.004554468,7.32E-05,0.000161733,-6.66E-09,9.65E-06,1.63E-08,1
0.208417685,0.004747891,9.55E-05,0.000148542,-7.88E-09,8.61E-06,1.58E-08,1
0.208035782,0.005085825,0.000127598,0.000150555,-7.91E-09,8.89E-06,1.93E-08,1
0.206874426,0.005339148,0.000150557,0.000138168,-7.63E-09,8.10E-06,1.84E-08,1
0.209964688,0.004802771,0.00010782,0.000162613,-9.79E-09,9.88E-06,1.92E-08,1
0.210919509,0.004707981,0.000138335,0.000178894,-1.34E-08,1.09E-05,2.48E-08,1
0.212663627,0.004290346,6.84E-05,0.000192732,-1.01E-08,1.15E-05,1.97E-08,1
0.21306605,0.004196087,7.06E-05,0.000196343,-1.14E-08,1.16E-05,2.01E-08,1
0.213081111,0.004176432,6.46E-05,0.000199531,-1.06E-08,1.17E-05,2.00E-08,1
0.213094721,0.004158937,6.99E-05,0.000201613,-1.16E-08,1.18E-05,2.10E-08,1
0.212563476,0.004150693,7.64E-05,0.000198262,-1.21E-08,1.15E-05,2.12E-08,1
0.212131381,0.004106797,8.61E-05,0.00019621,-1.34E-08,1.15E-05,2.17E-08,1
0.211968583,0.004097293,9.78E-05,0.00019439,-1.45E-08,1.14E-05,2.26E-08,1
0.211589362,0.00409691,0.000100316,0.000191958,-1.46E-08,1.14E-05,2.23E-08,1
0.211295365,0.004121243,0.000111305,0.000188501,-1.52E-08,1.14E-05,2.27E-08,1
0.210768359,0.004195602,0.00011139,0.000185649,-1.56E-08,1.16E-05,2.16E-08,1
0.210308934,0.004245266,0.000120397,0.00018018,-1.58E-08,1.15E-05,2.13E-08,1
0.210331898,0.004295015,0.00012528,0.00017868,-1.60E-08,1.14E-05,2.14E-08,1
0.209949103,0.004290711,0.000129038,0.000175624,-1.58E-08,1.13E-05,2.12E-08,1
0.209872187,0.004346499,0.000137283,0.000174646,-1.58E-08,1.13E-05,2.19E-08,1
0.209303995,0.004302564,0.000132028,0.000173153,-1.57E-08,1.12E-05,2.10E-08,1
0.208812969,0.00427267,0.000132925,0.000171512,-1.60E-08,1.11E-05,2.04E-08,1
0.208597536,0.004286143,0.000133992,0.000170312,-1.59E-08,1.10E-05,2.03E-08,1
0.208372666,0.004251682,0.000133733,0.000168936,-1.55E-08,1.09E-05,2.01E-08,1
0.207889434,0.004290158,0.000135207,0.000165883,-1.48E-08,1.08E-05,1.99E-08,1
0.207463052,0.00427004,0.000130728,0.000163259,-1.46E-08,1.06E-05,1.89E-08,1
0.207250616,0.004277012,0.000123938,0.000162847,-1.43E-08,1.06E-05,1.82E-08,1
0.206554911,0.004350196,0.00012623,0.000158433,-1.39E-08,1.04E-05,1.76E-08,1
0.206275688,0.004353535,0.000122967,0.000156817,-1.37E-08,1.03E-05,1.70E-08,1
0.205921737,0.004358563,0.000129199,0.000154009,-1.36E-08,1.02E-05,1.69E-08,1
0.205437338,0.004501369,0.000139965,0.00014553,-1.29E-08,9.76E-06,1.63E-08,1
0.202833685,0.005134161,0.000132858,0.000115612,-8.47E-09,8.17E-06,1.16E-08,1
0.201064108,0.005579301,0.000127625,0.000101336,-6.41E-09,7.32E-06,9.58E-09,1
0.200175512,0.005714754,0.000126018,9.22E-05,-5.62E-09,6.66E-06,8.20E-09,1
0.200744932,0.005693141,0.000117738,9.75E-05,-5.57E-09,7.12E-06,8.83E-09,1
0.201031564,0.00569,0.000109193,9.95E-05,-5.65E-09,7.28E-06,8.70E-09,1
0.200678184,0.005749376,0.000105498,9.53E-05,-5.12E-09,6.98E-06,8.07E-09,1
0.200762211,0.005735625,0.000106041,9.63E-05,-5.19E-09,7.05E-06,8.24E-09,1
0.200478339,0.005755915,9.59E-05,9.50E-05,-4.77E-09,6.96E-06,7.72E-09,1
0.199076499,0.005843871,9.07E-05,8.04E-05,-4.10E-09,5.80E-06,5.51E-09,1
0.198617863,0.00595539,8.95E-05,7.77E-05,-3.41E-09,5.65E-06,5.51E-09,1
0.198444013,0.006019231,8.27E-05,7.62E-05,-3.04E-09,5.54E-06,5.23E-09,1
0.198019911,0.006051352,7.98E-05,7.40E-05,-2.72E-09,5.37E-06,0.000000005,1
0.197635875,0.00599367,7.46E-05,7.28E-05,-2.47E-09,5.23E-06,4.76E-09,1
0.197814094,0.005907154,7.52E-05,7.39E-05,-2.70E-09,5.28E-06,4.80E-09,1
